Забота о 20 процентах.,"Никто не сомневается, что корпоративные мероприятия – это большой бизнес.",0.03204406425356865
"Это свидетельствует о том, что отель Риц признавал, что бизнес-ланчи являются важной частью корпоративной культуры, помогают укрепить деловые отношения между коллегами, увеличить их значимость или манипулировать сверхосторожными клиентами, чтобы они согласились.","В конце концов, отвергнуть предложение принимающей стороны (какое бы нелепое оно бы ни было), когда ты уже проел кругленькую сумму долларов его бюджета.",0.6475726366043091
"В конце концов, отвергнуть предложение принимающей стороны (какое бы нелепое оно бы ни было), когда ты уже проел кругленькую сумму долларов его бюджета.","На самом деле, неясно насколько рентабельно для компании Fiat содержать свою собственную картинную галерею, в которую они водят своих клиентов, или для компании German Neckerman иметь целое подразделение, занимающееся организацией проведения выходных на Средиземном море для особо важных клиентов, конечно, вопрос.",0.7934914231300354
"На самом деле, неясно насколько рентабельно для компании Fiat содержать свою собственную картинную галерею, в которую они водят своих клиентов, или для компании German Neckerman иметь целое подразделение, занимающееся организацией проведения выходных на Средиземном море для особо важных клиентов, конечно, вопрос.","Безусловно, в Австрии, где корпоративные мероприятия не облагаются налогами, затраты на приглашения на фестивали Моцарта для любителей классической музыки или в Клостерс для лыжников обернутся большой выгодой.",0.8508004546165466
"Безусловно, в Австрии, где корпоративные мероприятия не облагаются налогами, затраты на приглашения на фестивали Моцарта для любителей классической музыки или в Клостерс для лыжников обернутся большой выгодой.",Можно ли считать подобные расходы частью маркетинговой стратегии?,0.5035164952278137
Можно ли считать подобные расходы частью маркетинговой стратегии?,Можно.,0.0679284930229187
Можно.,"Все больше и больше компаний убеждаются, что всеохватывающий маркетинг неэффективен.",0.0444195419549942
"Все больше и больше компаний убеждаются, что всеохватывающий маркетинг неэффективен.",В будущем маркетинг должен быть более целенаправленным.,0.9243982434272766
В будущем маркетинг должен быть более целенаправленным.,"Может так оказаться, что масштабные рекламные кампании будут менее эффективны в продвижении товаров, чем более простые уловки, помогающие переманить клиента на свою сторону.",0.6862595081329346
"Может так оказаться, что масштабные рекламные кампании будут менее эффективны в продвижении товаров, чем более простые уловки, помогающие переманить клиента на свою сторону.","Конечно, во время кризиса подобное корпоративное гостеприимство выглядит как расточительство и не способствует улучшению общественных отношений.",0.6272143125534058
"Конечно, во время кризиса подобное корпоративное гостеприимство выглядит как расточительство и не способствует улучшению общественных отношений.",Но сражаться за лучших клиентов по-прежнему имеет смысл.,0.38134250044822693
Но сражаться за лучших клиентов по-прежнему имеет смысл.,"Если так называемый закон Парето справедлив, то 80% продаж приходится на 20% покупателей, почему бы не затратить побольше сил для привлечения этих 20%?",0.7323055267333984
